query_id,product_id,label,hybrid_rank
20566,B001G42Q4W,E,
104359,B0734SN6VR,C,
21597,B01G9B2B2S,S,
85511,B07N95KFYC,E,
1217,B07HZHCDQG,S,
25415,B086CBWB2N,E,
85787,B08564NLZG,I,
48375,B08MTGT62P,E,
36236,B07YXTYZSY,C,
51993,0134767322,C,
46357,B07H8W9FD6,E,
94290,B07FR32S4P,E,
53271,B01N2VRBP3,I,
50541,B07MWPNPPB,E,
41390,B00VEK5PIM,E,
81481,B079TJHVN3,E,
84825,B07QDLCRVF,E,
10774,B07TJ1RT4W,I,
26918,B0057JA1QC,E,
36367,B09B1Q64ZH,I,
113944,B082NM8ZFR,S,
87291,B07T49893J,S,
95927,B007TEZD2A,S,
64579,B07JG918D6,E,
81550,B07S73JXVB,E,
32815,B06XD6XBCM,C,
59257,B07FJQ5BJQ,E,
86117,B013FEINW4,I,
76630,B07GDKKC9P,C,
101890,B00000G42T,S,
3783,B00UMAKFA8,C,
103578,B07CSDXZM2,I,
41583,B000G187FS,C,
102523,B08Y6D74GY,S,
1596,B07R7NTX6D,C,
44295,B08PBFYNF8,S,
25460,B017B6NAJS,S,
64489,B07GXZ6FYB,E,
57559,B00M5EK66W,C,
115665,B082XV9CDK,I,
95221,B07YD7RSQ4,E,
65575,B08DKWKCD2,C,
91709,B08YRD11VS,S,
109340,B00FBRPH1E,C,
13161,B002EZHGQK,E,
44062,B0742DCLDH,S,
1912,B00HPYAFKY,S,
5485,B08K8HZRFS,S,
91405,B01MXJCYNH,C,
20939,B07WQSYV1Y,E,
106948,B07NY38NTY,C,
1247,B0872XGDWJ,I,
76707,B01AT3T0GC,C,
44219,B07XX42BBC,E,
66948,B00SGF5N1M,E,
17621,B074MBD643,S,
80818,B0001VUSKU,E,
102790,0307010856,I,
100955,B01N29CVAE,I,
68562,B009G4JDTA,I,
31938,039330230X,I,
22593,B000QJ9DBC,I,
85041,B006GTXQKU,I,
56746,B07RFTDQ6K,C,
94218,B0817SHH1Z,S,
102035,B07NRT4DCG,I,
27656,B01DA61WY8,S,
22847,B0895L1N7G,C,
72282,B07GM1FKS3,S,
81394,B016KXSLD8,I,
77128,B076YGC758,E,
69255,B085HF7R3C,C,
30594,B076VKL4H1,I,
92643,B004OUVK4W,S,
64586,B07FZXCHTT,E,
87525,B0721B8M3J,C,
75528,B004CW5YUI,S,
58752,B00D4C18CU,S,
20766,B01MUJBT42,S,
40652,B017UOZGYI,I,
922,1839061758,I,
93284,B07V9KMNGY,I,
61395,B07JMHK2PL,E,
90293,B07Y1FH2WW,C,
399,B0030BEW96,I,
