query_id,product_id,label,hybrid_rank
99148,B00PMLVAZQ,C,1
98364,1579824544,E,
59183,B07ZWBH9J2,I,7
110399,B01G82Z7FG,C,3
6083,B005Y6Y86M,E,
98582,B0833SL4CY,S,
34125,B07W56S4CC,I,7
89328,B01BLUWENS,C,12
62170,B0924MVGKY,E,
18191,B01KN9YVWA,E,
44679,B00E1NI7FM,C,14
62728,B07JGBYJJ4,E,
115330,B089CWDHFZ,S,
114975,B01ICUP8TC,I,3
103115,B00KNO7TZM,E,
57901,B07PMT4ZX4,I,5
109114,B072X38K53,I,7
99473,B081Y8PRW8,E,
66784,B01LTHY4XG,E,
19997,B0868HHWLG,C,5
71526,B07MK59T3F,E,
110105,B00CQCMQ70,I,1
55209,B0792JVVCC,S,
62976,B01KW1XVX4,E,
28620,B07CC2KK32,S,
17395,B00OIC5G78,I,4
79821,B000FXW52I,C,5
109170,B00QSLYMIQ,S,
83937,B07C2GL86T,E,
1097,B07V45VQG1,I,4
110090,B01N3CFPG9,I,7
102115,1602591121,C,13
74851,B07P76G428,E,
12201,B07H8F5ZHJ,I,7
41012,B07CT8F226,E,
81546,B07R4Q4D6F,I,3
46491,B07943G46Y,C,2
110405,B00V8T9R6K,C,14
43939,B07VBMR4TT,C,3
48235,B00N41NA0Y,C,1
630,B07BB94KM3,E,
70859,B086YFX4WQ,C,8
72561,B0198WJYXY,S,
55424,B00OZWU0TU,C,3
49726,B0084XOX94,S,
56106,B07T99HRGL,S,
46216,B082186KCS,S,
18042,B096LQ8WKY,S,
44057,B07BSBVSBV,I,7
75158,B07Y9JMLXJ,S,
59814,B06ZZ6B28N,S,
34812,B07DFJT94C,I,2
96080,B0846NH2PS,S,
38044,B001AMQIUI,I,1
74454,B07662FC2H,I,5
13384,B07BGSYHJX,C,8
108641,B0983QTBSQ,S,
29805,B07K9FWTJ6,S,
28645,B08323MMYC,S,
101844,B0099SOUIW,I,4
21064,B007AFP8HS,C,1
108221,B08N131G8X,C,1
17911,B07X3BFWNS,S,
68399,B07D2X8QHM,I,6
1296,B07TXM1STH,S,
90283,B07DZMB1ZK,I,6
114773,B0135AV5XC,E,
753,B08FYF214F,I,2
103041,B01L8JJ80E,S,
57923,B087CVF3ML,I,7
68706,B01CA2RYH2,E,
93689,B0721SRM7J,C,2
101376,0692279539,I,6
46411,B074112WK9,E,
11277,B07QG3TY17,E,
60502,B078X2BG4R,E,
1927,B07DJ4N3V7,S,
11056,B07YWWH8SS,I,4
47317,B00ZGJ86HO,I,1
82801,B00JDRKLOG,I,2
99641,B00H4F9V7C,S,
68936,B074RCGYLB,E,
103440,B07QYNH5BL,C,1
23757,0590130838,E,
108324,B0080DI1DW,C,2
14726,B07F2VR8ZB,I,5
1146,B009GXRI9I,I,7
10628,B01N54B96F,I,4
114405,B0814YHJTG,C,12
96605,B01LXYO93N,I,7
30217,B078VXDHZY,S,
918,B07PTL9KKN,E,
70416,B01NC0WVI3,I,1
90683,B07KJYJJMS,E,
5554,B00Z7O7YJY,C,9
52877,B012YD5H7G,E,
53310,B0868Y6NNT,C,17
66563,B002789FS6,I,2
42783,B076H461S8,E,
57753,B004XM4IO0,C,15
89539,B01KMU4COW,E,
51176,B07GJ2MTFF,I,3
28228,0793525969,S,
85343,B07H611ZP1,I,3
81603,B07JD1RMWK,C,2
83724,B005YJUYTY,E,
91525,1882424581,C,3
3918,B08XGQHFK5,S,
82075,B07V82N4K2,I,1
74317,B071LPWKXN,E,
66447,B07MY2L58J,E,
114547,B07V3BJHKN,C,1
65287,B07HS8X8PX,C,2
44462,B000MGR1JK,S,
30993,B01LWU0SAX,S,
51913,B07956FQVR,I,1
18359,1594031436,S,
57685,B07YQWSF1V,E,
55523,B00N54KX6E,E,
17841,076843291X,S,
86861,B00HZ9AXGK,I,5
53881,B0764N7SB9,I,4
75987,B07BLJK5KH,I,2
5547,B0082KKXOI,E,
49232,B009GPJMOU,C,17
87536,B0856RN798,S,
75730,B083KLBW8G,E,
44219,B07XX42BBC,E,
93938,B07V4NCGZ8,I,2
71634,B00A5IXWH0,I,4
68723,B00TG3IZ4A,E,
109265,B08B79S65S,C,2
78873,B07SZGG2HM,E,
107069,B07736WT6T,C,2
66627,B07CK95QM8,C,2
52437,B07P6Y7954,S,
112912,B07CN8ZH98,E,
96131,B07QLB3S12,C,9
56245,B07LDF11FB,C,17
16178,B001ICNOO8,C,4
35131,B08GF8KW15,C,10
44071,B089RDFRL5,C,4
56900,B00M078UZS,E,
6159,B07RL8XNBK,C,10
51940,B07Q2BJBJ6,S,
36221,B088K8HJM1,S,
2030,B089QW429Z,C,3
74539,B07X2ZWXTJ,C,2
76737,B07FBB5XDR,E,
24750,B077BPB543,E,
34053,B07GNF5XPS,S,
109244,B01CIHI0MC,C,4
80963,B072LVD8DL,I,1
13218,B0043URV46,S,
101797,B0083EFQ86,S,
60745,B07Z52VB7X,E,
15358,B07Y2MX7PS,I,2
53229,B07QS5ZJ21,S,
4226,B097BF2FRZ,S,
23659,B06XDJ8TLJ,I,1
62975,B07GWZNF91,S,
114882,B06WVF8W79,I,5
90778,B07JCS2H63,C,10
80913,B01LXPJ5B0,E,
21490,B0771R5L28,I,7
55890,B008Y3OQN2,I,7
80567,B07V9JM3TD,C,2
25106,B07NVJ7775,E,
95935,B07941QCR4,S,
11791,B06Y5L1VHW,C,17
114323,B0768JCX9F,I,6
85882,B074Z69XCN,I,6
87930,B081LDRRDF,C,1
104752,B07Y2HQ8Y4,E,
4052,B08GY8LVYR,I,3
85053,B08FRQ2SX6,I,7
75596,B087CB8NTB,S,
60477,B01E45PP60,E,
26635,B000WY6KS0,I,5
34890,B072K6ZQ4P,C,4
54323,B01K6PBSK4,I,7
78249,B07MDXX8Z6,C,2
40418,B06Y4NC6GD,I,5
60746,B01AQVU3OK,C,14
102434,B06VWH2HCP,C,13
109652,B00MANZUTQ,C,2
63431,B073WGMBVG,S,
114703,B074F373TS,C,16
113482,B004O9PXO6,S,
63063,B07ZS468WV,C,11
111060,B07V2287RF,S,
8766,B00P9PUTDY,C,9
66041,B001GB3SMY,I,2
86235,B09CTN4MFY,C,5
39183,B086ZV3525,E,
54306,B00Z7SUZFU,I,6
85644,B0756P27YX,I,1
81048,B07BMMFKDJ,E,
39294,B0010SU7LS,I,5
85962,B017IAU4BY,E,
71309,B085RZM2G2,I,7
31345,B07KZBM4B2,C,1
76334,B098PZCPNB,C,2
46723,B07CKZ7998,C,2
114216,B091YDSDJW,S,
86235,B00USLE2K0,C,14
520,B08K76LNTM,I,4
108516,B072QZP5GR,C,7
105474,B01M1LFBP8,I,5
6971,B00O84TLJ0,I,2
20525,B00939FV8K,S,
91144,B07MZP4ZY7,E,
75216,B00AEFYRP0,E,
32055,B07CBZRXJQ,E,
110405,B07YFDNB4B,I,7
506,B07H1XYYS7,I,1
36145,B085L6W112,C,9
79557,B082ZK4GZQ,S,
110945,B06Y4MVLKD,C,13
57003,B00R9D47AA,S,
97217,B07JFRTFDT,C,3
41434,B01N11O00X,S,
50287,B083SMBK6W,S,
100090,B0875NF3CB,C,7
11942,B075LDG88R,S,
22014,B07RZBFHDN,S,
111699,B06XP5Y7PC,C,2
547,B07P4MS2C1,C,9
42592,B091P24PMR,C,4
26274,B004P6SK3Y,C,10
20295,B07H8LYRRZ,C,14
46705,B07BKR1S9K,E,
45340,B004B8F8MM,C,16
95501,B07KTHMSBS,S,
105126,B07G2PYNHV,I,6
55084,B00XWNGFG0,S,
15623,B079ZN56SP,I,3
