query_id,candidates,rerank_latency_ms,ms_per_candidate
101424,40,19433.33,485.83
101810,40,17776.10,444.40
102108,40,13572.91,339.32
10248,40,17839.19,445.98
102729,40,15355.10,383.88
103248,40,15005.43,375.14
103381,40,19185.32,479.63
104192,40,10774.15,269.35
104683,40,14599.94,365.00
104726,40,16704.03,417.60
105442,40,15103.99,377.60
105805,40,18667.22,466.68
105964,40,24423.23,610.58
106692,40,7629.81,190.75
107654,40,22908.65,572.72
107795,40,22280.49,557.01
109221,40,24082.51,602.06
110213,40,14739.87,368.50
111068,40,9502.12,237.55
111169,40,8377.40,209.44
111464,40,6120.87,153.02
112127,40,9765.96,244.15
112144,40,10607.15,265.18
112185,40,9603.23,240.08
112660,40,10760.91,269.02
113680,40,8591.88,214.80
11450,40,4361.01,109.03
114648,40,7099.80,177.50
115506,40,6949.61,173.74
115574,40,4133.35,103.33
12039,40,8843.54,221.09
1226,40,8333.46,208.34
12804,40,10084.32,252.11
13004,40,10761.31,269.03
136,40,5301.85,132.55
1377,40,9597.36,239.93
14484,40,8978.91,224.47
14503,40,8840.43,221.01
15307,40,6270.29,156.76
15404,40,9339.78,233.49
15743,40,9622.31,240.56
1612,40,4410.30,110.26
16447,40,8628.02,215.70
16633,40,10144.05,253.60
16779,40,8825.52,220.64
16811,40,7286.31,182.16
17570,40,9669.88,241.75
17742,40,7938.42,198.46
19665,40,8812.12,220.30
19735,40,13668.57,341.71
20185,40,5584.89,139.62
20199,40,8684.79,217.12
20399,40,4149.63,103.74
21063,40,9130.88,228.27
21482,40,5916.13,147.90
21645,40,9152.66,228.82
23895,40,9252.24,231.31
24535,40,6395.62,159.89
25040,40,4657.23,116.43
25265,40,7933.43,198.34
25674,40,8909.48,222.74
2658,40,7347.89,183.70
27256,40,9016.34,225.41
27371,40,6317.35,157.93
28391,40,7173.11,179.33
29945,40,10503.05,262.58
30040,40,8232.08,205.80
30183,40,6853.25,171.33
30439,40,9760.81,244.02
31724,40,5297.73,132.44
31786,40,4559.10,113.98
31855,40,7970.59,199.26
3280,40,9597.60,239.94
33285,40,8867.84,221.70
34185,40,3567.13,89.18
34693,40,9072.52,226.81
34829,40,7460.84,186.52
35421,40,9795.32,244.88
35564,40,10871.61,271.79
3596,40,8928.33,223.21
36382,40,8649.12,216.23
37521,40,9925.15,248.13
37539,40,8753.80,218.84
3774,40,9333.09,233.33
37749,40,8468.63,211.72
38562,40,7491.46,187.29
38791,40,6607.44,165.19
39580,40,9957.88,248.95
39693,40,9987.63,249.69
39706,40,9761.87,244.05
40292,40,8754.56,218.86
41327,40,9012.14,225.30
42495,40,5632.67,140.82
42606,40,6654.50,166.36
4442,40,9376.28,234.41
44512,40,7914.87,197.87
44718,40,5598.37,139.96
44816,40,6907.71,172.69
45162,40,8884.07,222.10
45451,40,9346.50,233.66
45805,40,9744.43,243.61
47134,40,9914.66,247.87
48126,40,10257.49,256.44
48212,40,8271.23,206.78
48658,40,8451.40,211.28
491,40,10084.66,252.12
49119,40,8936.59,223.41
49858,40,4997.78,124.94
50050,40,5559.01,138.98
50429,40,5005.95,125.15
50431,40,8788.41,219.71
50997,40,8817.86,220.45
51426,40,7960.20,199.01
52338,40,13210.34,330.26
52814,40,4898.73,122.47
53046,40,7212.24,180.31
54125,40,9433.45,235.84
55345,40,7281.09,182.03
55850,40,9859.34,246.48
55937,40,9370.01,234.25
5609,40,10299.83,257.50
56301,40,5495.50,137.39
56629,40,4949.34,123.73
56886,40,6344.62,158.62
56889,40,4754.84,118.87
57815,40,8272.49,206.81
57966,40,8569.02,214.23
58223,40,6770.85,169.27
58287,40,6344.40,158.61
60242,40,9586.11,239.65
62489,40,9516.32,237.91
62551,40,8851.91,221.30
63216,40,8899.55,222.49
63324,40,7719.26,192.98
63901,40,8836.37,220.91
64191,40,8441.31,211.03
64761,40,9185.37,229.63
64869,40,8834.99,220.87
65197,40,5969.27,149.23
6565,40,9955.23,248.88
65754,40,7764.50,194.11
67348,40,8904.56,222.61
67550,40,5577.63,139.44
67637,40,8520.76,213.02
68310,40,8512.28,212.81
69000,40,6559.06,163.98
69842,40,13432.59,335.81
70936,40,7416.72,185.42
71873,40,10248.79,256.22
72133,40,8412.07,210.30
73310,40,5031.89,125.80
76422,40,5959.28,148.98
78851,40,8905.99,222.65
79409,40,8893.84,222.35
79763,40,9425.55,235.64
80192,40,8502.91,212.57
80355,40,10065.40,251.64
8122,40,5773.75,144.34
81919,40,4667.78,116.69
82651,40,5110.43,127.76
82903,40,9550.60,238.76
83064,40,7102.16,177.55
83372,40,9240.71,231.02
83450,40,5380.39,134.51
83581,40,9459.99,236.50
85185,40,7038.93,175.97
85197,40,5468.77,136.72
85327,40,6822.90,170.57
86068,40,5426.00,135.65
861,40,8677.63,216.94
86106,40,10079.93,252.00
86336,40,8122.85,203.07
86505,40,8825.96,220.65
86564,40,12247.61,306.19
86567,40,8206.49,205.16
8733,40,9096.87,227.42
88710,40,9661.29,241.53
89031,40,7045.76,176.14
89108,40,7272.77,181.82
89953,40,10471.66,261.79
90546,40,7754.26,193.86
92283,40,7998.24,199.96
92384,40,9675.82,241.90
93169,40,10436.27,260.91
93470,40,6203.01,155.08
94174,40,9944.93,248.62
94370,40,8114.79,202.87
94492,40,10634.21,265.86
94574,40,9422.81,235.57
94689,40,11890.24,297.26
95831,40,10718.73,267.97
96160,40,10069.40,251.74
96622,40,9926.29,248.16
