split,system,query_id,latency_ms
validation,bm25,100111,8.234
validation,dense,100111,31.049
validation,hybrid,100111,322.499
validation,bm25,100410,6.268
validation,dense,100410,32.751
validation,hybrid,100410,243.167
validation,bm25,100501,25.646
validation,dense,100501,34.355
validation,hybrid,100501,707.437
validation,bm25,100503,12.895
validation,dense,100503,40.938
validation,hybrid,100503,434.922
validation,bm25,100569,28.951
validation,dense,100569,34.114
validation,hybrid,100569,371.507
validation,bm25,100571,7.740
validation,dense,100571,31.417
validation,hybrid,100571,246.759
validation,bm25,100579,27.565
validation,dense,100579,33.303
validation,hybrid,100579,344.488
validation,bm25,100728,23.384
validation,dense,100728,47.620
validation,hybrid,100728,129.253
validation,bm25,100742,4.938
validation,dense,100742,30.504
validation,hybrid,100742,259.703
validation,bm25,100810,37.888
validation,dense,100810,58.012
validation,hybrid,100810,762.732
validation,bm25,100849,9.271
validation,dense,100849,30.330
validation,hybrid,100849,219.199
validation,bm25,100867,4.431
validation,dense,100867,945.863
validation,hybrid,100867,131.146
validation,bm25,100919,24.184
validation,dense,100919,33.056
validation,hybrid,100919,370.551
validation,bm25,100981,38.830
validation,dense,100981,58.613
validation,hybrid,100981,314.237
validation,bm25,101064,14.209
validation,dense,101064,32.523
validation,hybrid,101064,357.191
validation,bm25,101083,22.629
validation,dense,101083,32.956
validation,hybrid,101083,401.027
validation,bm25,101204,5.867
validation,dense,101204,35.203
validation,hybrid,101204,339.925
validation,bm25,101332,6.772
validation,dense,101332,35.178
validation,hybrid,101332,406.149
validation,bm25,101335,10.269
validation,dense,101335,35.448
validation,hybrid,101335,484.839
validation,bm25,101391,11.726
validation,dense,101391,33.709
validation,hybrid,101391,486.070
validation,bm25,101429,5.448
validation,dense,101429,32.121
validation,hybrid,101429,150.921
validation,bm25,101439,5.275
validation,dense,101439,45.047
validation,hybrid,101439,150.644
validation,bm25,101483,42.858
validation,dense,101483,32.294
validation,hybrid,101483,372.897
validation,bm25,10149,4.559
validation,dense,10149,30.066
validation,hybrid,10149,121.304
validation,bm25,101522,12.164
validation,dense,101522,30.364
validation,hybrid,101522,144.240
validation,bm25,101536,9.361
validation,dense,101536,32.243
validation,hybrid,101536,470.739
validation,bm25,101618,6.078
validation,dense,101618,32.536
validation,hybrid,101618,209.017
validation,bm25,101660,6.614
validation,dense,101660,30.964
validation,hybrid,101660,220.773
validation,bm25,101739,61.624
validation,dense,101739,240.046
validation,hybrid,101739,269.649
validation,bm25,10174,8.595
validation,dense,10174,31.151
validation,hybrid,10174,261.375
validation,bm25,101747,9.746
validation,dense,101747,31.657
validation,hybrid,101747,431.179
validation,bm25,101916,26.325
validation,dense,101916,34.330
validation,hybrid,101916,514.192
validation,bm25,101925,42.253
validation,dense,101925,89.406
validation,hybrid,101925,319.972
validation,bm25,101970,45.990
validation,dense,101970,36.434
validation,hybrid,101970,809.130
validation,bm25,10200,19.774
validation,dense,10200,96.525
validation,hybrid,10200,400.350
validation,bm25,102025,47.279
validation,dense,102025,85.788
validation,hybrid,102025,480.768
validation,bm25,102031,25.209
validation,dense,102031,36.392
validation,hybrid,102031,577.452
validation,bm25,102038,24.052
validation,dense,102038,40.667
validation,hybrid,102038,251.885
validation,bm25,102048,39.926
validation,dense,102048,36.068
validation,hybrid,102048,726.991
validation,bm25,102065,22.695
validation,dense,102065,68.346
validation,hybrid,102065,250.173
validation,bm25,10213,8.972
validation,dense,10213,39.539
validation,hybrid,10213,443.252
validation,bm25,102138,24.076
validation,dense,102138,32.032
validation,hybrid,102138,490.690
validation,bm25,102144,48.579
validation,dense,102144,35.174
validation,hybrid,102144,484.897
validation,bm25,10216,26.936
validation,dense,10216,33.517
validation,hybrid,10216,527.369
validation,bm25,102163,34.408
validation,dense,102163,50.800
validation,hybrid,102163,347.376
validation,bm25,102181,25.423
validation,dense,102181,34.385
validation,hybrid,102181,320.870
validation,bm25,102254,37.223
validation,dense,102254,33.244
validation,hybrid,102254,367.251
validation,bm25,102312,27.433
validation,dense,102312,31.333
validation,hybrid,102312,592.186
validation,bm25,102321,25.391
validation,dense,102321,33.688
validation,hybrid,102321,359.739
validation,bm25,102542,34.319
validation,dense,102542,34.932
validation,hybrid,102542,465.977
validation,bm25,102544,4.458
validation,dense,102544,39.241
validation,hybrid,102544,264.197
validation,bm25,102553,17.320
validation,dense,102553,37.071
validation,hybrid,102553,345.180
validation,bm25,102760,17.736
validation,dense,102760,74.238
validation,hybrid,102760,378.543
validation,bm25,102781,47.524
validation,dense,102781,40.149
validation,hybrid,102781,397.171
validation,bm25,102791,51.361
validation,dense,102791,255.224
validation,hybrid,102791,444.758
validation,bm25,10280,6.452
validation,dense,10280,30.903
validation,hybrid,10280,335.291
validation,bm25,102811,11.715
validation,dense,102811,33.751
validation,hybrid,102811,315.115
validation,bm25,102820,60.334
validation,dense,102820,64.741
validation,hybrid,102820,352.783
validation,bm25,10286,6.582
validation,dense,10286,39.487
validation,hybrid,10286,477.264
validation,bm25,103081,5.819
validation,dense,103081,41.495
validation,hybrid,103081,202.538
validation,bm25,103104,43.282
validation,dense,103104,38.367
validation,hybrid,103104,353.203
validation,bm25,103143,5.802
validation,dense,103143,31.973
validation,hybrid,103143,428.450
validation,bm25,10316,35.430
validation,dense,10316,37.040
validation,hybrid,10316,679.438
validation,bm25,103202,12.420
validation,dense,103202,39.088
validation,hybrid,103202,566.347
validation,bm25,103238,12.199
validation,dense,103238,35.894
validation,hybrid,103238,613.260
validation,bm25,103258,35.053
validation,dense,103258,34.868
validation,hybrid,103258,553.841
validation,bm25,103264,15.403
validation,dense,103264,35.007
validation,hybrid,103264,670.275
validation,bm25,103304,29.090
validation,dense,103304,39.666
validation,hybrid,103304,460.972
validation,bm25,103322,32.805
validation,dense,103322,59.600
validation,hybrid,103322,801.875
validation,bm25,103329,74.615
validation,dense,103329,184.778
validation,hybrid,103329,794.418
validation,bm25,103563,18.352
validation,dense,103563,72.063
validation,hybrid,103563,512.873
validation,bm25,10362,7.924
validation,dense,10362,35.069
validation,hybrid,10362,283.900
validation,bm25,103697,8.842
validation,dense,103697,30.505
validation,hybrid,103697,374.269
validation,bm25,103862,5.460
validation,dense,103862,30.119
validation,hybrid,103862,418.987
validation,bm25,103948,6.449
validation,dense,103948,47.205
validation,hybrid,103948,356.753
validation,bm25,104046,27.143
validation,dense,104046,57.042
validation,hybrid,104046,418.861
validation,bm25,104219,7.183
validation,dense,104219,31.029
validation,hybrid,104219,396.822
validation,bm25,104290,8.280
validation,dense,104290,31.889
validation,hybrid,104290,228.439
validation,bm25,104344,5.615
validation,dense,104344,30.647
validation,hybrid,104344,316.216
validation,bm25,104362,6.880
validation,dense,104362,32.264
validation,hybrid,104362,371.575
validation,bm25,104400,41.523
validation,dense,104400,31.575
validation,hybrid,104400,281.967
validation,bm25,104414,10.780
validation,dense,104414,35.701
validation,hybrid,104414,431.036
validation,bm25,104484,27.184
validation,dense,104484,32.553
validation,hybrid,104484,510.036
validation,bm25,104498,6.453
validation,dense,104498,29.907
validation,hybrid,104498,359.254
validation,bm25,104578,7.528
validation,dense,104578,34.874
validation,hybrid,104578,250.592
validation,bm25,104583,7.983
validation,dense,104583,39.827
validation,hybrid,104583,313.518
validation,bm25,104698,8.290
validation,dense,104698,35.854
validation,hybrid,104698,446.032
validation,bm25,104710,5.213
validation,dense,104710,29.680
validation,hybrid,104710,132.329
validation,bm25,104731,33.688
validation,dense,104731,56.868
validation,hybrid,104731,452.267
validation,bm25,104743,4.562
validation,dense,104743,30.876
validation,hybrid,104743,146.659
validation,bm25,104762,5.205
validation,dense,104762,31.432
validation,hybrid,104762,134.995
validation,bm25,104800,9.114
validation,dense,104800,29.786
validation,hybrid,104800,258.197
validation,bm25,104889,4.456
validation,dense,104889,30.100
validation,hybrid,104889,122.143
validation,bm25,104892,20.503
validation,dense,104892,32.604
validation,hybrid,104892,443.480
validation,bm25,105145,23.721
validation,dense,105145,30.518
validation,hybrid,105145,374.043
validation,bm25,105266,28.301
validation,dense,105266,31.125
validation,hybrid,105266,477.770
validation,bm25,105278,27.675
