split,system,query_id,known_labels,known_e_or_s,reciprocal_rank,recall_at_10,hit_rate_at_10,precision_at_10,judged_at_10,recall_at_40,hit_rate_at_40,precision_at_40,judged_at_40,latency_ms
validation,bm25,100111,16,10,1.0,0.3,1.0,0.3,0.3,0.3,1.0,0.075,0.075,8.234
validation,dense,100111,16,10,0.2,0.1,1.0,0.1,0.3,0.2,1.0,0.05,0.1,31.049
validation,hybrid,100111,16,10,1.0,0.2,1.0,0.2,0.2,0.4,1.0,0.1,0.15,322.499
validation,bm25,100410,16,6,0.03571428571428571,0.0,0.0,0.0,0.2,0.16666666666666666,1.0,0.025,0.1,6.268
validation,dense,100410,16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,32.751
validation,hybrid,100410,16,6,0.02564102564102564,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.025,0.075,243.167
validation,bm25,100501,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.646
validation,dense,100501,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.355
validation,hybrid,100501,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.437
validation,bm25,100503,40,34,0.3333333333333333,0.08823529411764706,1.0,0.3,0.3,0.29411764705882354,1.0,0.25,0.275,12.895
validation,dense,100503,40,34,1.0,0.14705882352941177,1.0,0.5,0.5,0.35294117647058826,1.0,0.3,0.3,40.938
validation,hybrid,100503,40,34,0.3333333333333333,0.11764705882352941,1.0,0.4,0.4,0.4117647058823529,1.0,0.35,0.375,434.922
validation,bm25,100569,16,16,1.0,0.125,1.0,0.2,0.2,0.1875,1.0,0.075,0.075,28.951
validation,dense,100569,16,16,1.0,0.0625,1.0,0.1,0.1,0.0625,1.0,0.025,0.025,34.114
validation,hybrid,100569,16,16,1.0,0.0625,1.0,0.1,0.1,0.1875,1.0,0.075,0.075,371.507
validation,bm25,100571,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74
validation,dense,100571,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.417
validation,hybrid,100571,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.759
validation,bm25,100579,16,15,0.25,0.06666666666666667,1.0,0.1,0.1,0.26666666666666666,1.0,0.1,0.1,27.565
validation,dense,100579,16,15,0.08333333333333333,0.0,0.0,0.0,0.0,0.2,1.0,0.075,0.075,33.303
validation,hybrid,100579,16,15,1.0,0.13333333333333333,1.0,0.2,0.2,0.26666666666666666,1.0,0.1,0.1,344.488
validation,bm25,100728,16,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.384
validation,dense,100728,16,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.62
validation,hybrid,100728,16,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.253
validation,bm25,100742,16,16,1.0,0.5625,1.0,0.9,0.9,0.625,1.0,0.25,0.25,4.938
validation,dense,100742,16,16,1.0,0.25,1.0,0.4,0.4,0.4375,1.0,0.175,0.175,30.504
validation,hybrid,100742,16,16,1.0,0.4375,1.0,0.7,0.7,0.625,1.0,0.25,0.25,259.703
validation,bm25,100810,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.888
validation,dense,100810,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.012
validation,hybrid,100810,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.732
validation,bm25,100849,23,21,0.14285714285714285,0.09523809523809523,1.0,0.2,0.2,0.19047619047619047,1.0,0.1,0.125,9.271
validation,dense,100849,23,21,0.14285714285714285,0.047619047619047616,1.0,0.1,0.1,0.19047619047619047,1.0,0.1,0.1,30.33
validation,hybrid,100849,23,21,0.07142857142857142,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,0.15,0.15,219.199
validation,bm25,100867,24,20,1.0,0.1,1.0,0.2,0.2,0.6,1.0,0.3,0.325,4.431
validation,dense,100867,24,20,1.0,0.4,1.0,0.8,0.9,0.65,1.0,0.325,0.35,945.863
validation,hybrid,100867,24,20,1.0,0.4,1.0,0.8,0.9,0.65,1.0,0.325,0.35,131.146
validation,bm25,100919,16,16,0.16666666666666666,0.0625,1.0,0.1,0.1,0.4375,1.0,0.175,0.175,24.184
validation,dense,100919,16,16,1.0,0.3125,1.0,0.5,0.5,0.625,1.0,0.25,0.25,33.056
validation,hybrid,100919,16,16,0.3333333333333333,0.3125,1.0,0.5,0.5,0.625,1.0,0.25,0.25,370.551
validation,bm25,100981,16,14,0.125,0.14285714285714285,1.0,0.2,0.2,0.35714285714285715,1.0,0.125,0.15,38.83
validation,dense,100981,16,14,0.5,0.14285714285714285,1.0,0.2,0.3,0.42857142857142855,1.0,0.15,0.175,58.613
validation,hybrid,100981,16,14,1.0,0.21428571428571427,1.0,0.3,0.4,0.35714285714285715,1.0,0.125,0.15,314.237
validation,bm25,101064,40,38,1.0,0.02631578947368421,1.0,0.1,0.1,0.21052631578947367,1.0,0.2,0.2,14.209
validation,dense,101064,40,38,1.0,0.10526315789473684,1.0,0.4,0.4,0.15789473684210525,1.0,0.15,0.15,32.523
validation,hybrid,101064,40,38,1.0,0.13157894736842105,1.0,0.5,0.5,0.21052631578947367,1.0,0.2,0.2,357.191
validation,bm25,101083,16,16,1.0,0.0625,1.0,0.1,0.1,0.1875,1.0,0.075,0.075,22.629
validation,dense,101083,16,16,1.0,0.125,1.0,0.2,0.2,0.3125,1.0,0.125,0.125,32.956
validation,hybrid,101083,16,16,1.0,0.125,1.0,0.2,0.2,0.25,1.0,0.1,0.1,401.027
validation,bm25,101204,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.867
validation,dense,101204,16,16,0.05555555555555555,0.0,0.0,0.0,0.0,0.125,1.0,0.05,0.05,35.203
validation,hybrid,101204,16,16,0.025,0.0,0.0,0.0,0.0,0.0625,1.0,0.025,0.025,339.925
validation,bm25,101332,16,15,1.0,0.2,1.0,0.3,0.3,0.3333333333333333,1.0,0.125,0.125,6.772
validation,dense,101332,16,15,0.08333333333333333,0.0,0.0,0.0,0.0,0.13333333333333333,1.0,0.05,0.05,35.178
validation,hybrid,101332,16,15,1.0,0.06666666666666667,1.0,0.1,0.1,0.26666666666666666,1.0,0.1,0.1,406.149
validation,bm25,101335,16,16,0.047619047619047616,0.0,0.0,0.0,0.0,0.0625,1.0,0.025,0.025,10.269
validation,dense,101335,16,16,1.0,0.125,1.0,0.2,0.2,0.3125,1.0,0.125,0.125,35.448
validation,hybrid,101335,16,16,1.0,0.0625,1.0,0.1,0.1,0.1875,1.0,0.075,0.075,484.839
validation,bm25,101391,11,11,0.05,0.0,0.0,0.0,0.0,0.09090909090909091,1.0,0.025,0.025,11.726
validation,dense,101391,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.709
validation,hybrid,101391,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.07
validation,bm25,101429,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.448
validation,dense,101429,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.121
